created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
10/15/17 17:17,"Always great to take on (and beat) the Packers. Looking forward to the game, @SenatorBaldwin &amp; @SenRonJohnson. Let's go, @vikings! #SKOL",https://twitter.com/amyklobuchar/status/919613152899338241,17,16,120,amyklobuchar,K000367,D,MN
10/15/17 16:18,There's still time to take a walk in the woods &amp; submit a photo to my ���Best Minnesota Fall Photo�� contest by 10/23: https://t.co/y0NPHnYe60,https://twitter.com/amyklobuchar/status/919598309462945792,8,12,60,amyklobuchar,K000367,D,MN
10/15/17 3:23,This doctor from Rochester MN should not be deported. Hopefully they will look at her file &amp; see why....��_ https://t.co/haASzxtQTE,https://twitter.com/amyklobuchar/status/919403219255791616,40,343,750,amyklobuchar,K000367,D,MN
10/14/17 20:18,"Joined @MNSteveSimon, @RamseySheriff, Att'y John Choi &amp; advocates to discuss my bill w @RoyBlunt to help DV survivo��_ https://t.co/wgV2uxeh9T",https://twitter.com/amyklobuchar/status/919296399182790656,3,17,55,amyklobuchar,K000367,D,MN
10/14/17 15:07,Thanks to @WomenVenture for 40 yrs of working with women to start businesses.  Enjoyed seeing you all yesterday. Here's to 40 years more!,https://twitter.com/amyklobuchar/status/919218023252316160,4,33,177,amyklobuchar,K000367,D,MN
10/14/17 3:01,Took this from the stage at the Governor's Pheasant Opener in Marshall! Thanks Marshall &amp; Pheasants Forever!��_ https://t.co/pUHWtbZcq4,https://twitter.com/amyklobuchar/status/919035466833448961,8,32,187,amyklobuchar,K000367,D,MN
10/13/17 21:40,"So glad I could join @UofStThomasMN faculty, staff, &amp; students for dedication of Dougherty Family College. Great ad��_ https://t.co/XeXAVY3NBw",https://twitter.com/amyklobuchar/status/918954590783115265,6,25,113,amyklobuchar,K000367,D,MN
10/13/17 20:59,RT @MarkWarner: This is why we need more transparency in online political ads. Introducing legislation with @AmyKlobuchar on this soon. Sta��_,https://twitter.com/amyklobuchar/status/918944207309606912,33,188,500,amyklobuchar,K000367,D,MN
10/13/17 20:01,PR cannot lose assistance less than a month after being devastated by Maria. I'll keep fighting for these Americans. https://t.co/BQclYVv3vq,https://twitter.com/amyklobuchar/status/918929701032390657,17,88,486,amyklobuchar,K000367,D,MN
10/13/17 18:32,"RT @mspairport: Senator @amyklobuchar said we are ""a jewel"" to the state. #humblebrag https://t.co/8FZun3im6U",https://twitter.com/amyklobuchar/status/918907334914723840,5,13,68,amyklobuchar,K000367,D,MN
10/13/17 2:13,My dad was a reporter. These attacks on the press and First Amendment have to stop. https://t.co/oWCLRpb5tr,https://twitter.com/amyklobuchar/status/918660824532701184,176,336,1497,amyklobuchar,K000367,D,MN
