Unnamed: 0,happ_score,happ_words,likes,replies,retweets,scrape_date,total_words,tweet_date,tweet_id,url
982466578649198593,6.4801684210665655,475,9078,323,914,2018-04-29_17_38_53,1418,2018-04-06,982466578649198593,http://twitter.com/katyperry/status/982466578649198593
982469734187741186,6.343005893931696,509,6177,331,895,2018-04-29_17_37_27,1604,2018-04-06,982469734187741186,http://twitter.com/katyperry/status/982469734187741186
983177082023829505,6.329070796467446,452,12948,545,1511,2018-04-29_17_36_04,1405,2018-04-08,983177082023829505,http://twitter.com/katyperry/status/983177082023829505
983405318624296960,6.198866855519186,353,7626,404,1282,2018-04-29_17_34_39,1222,2018-04-09,983405318624296960,http://twitter.com/katyperry/status/983405318624296960
983524333862580225,6.342210526330978,475,10417,495,1253,2018-04-29_17_33_14,1538,2018-04-09,983524333862580225,http://twitter.com/katyperry/status/983524333862580225
983594611762319361,6.467964376593938,393,4969,147,583,2018-04-29_17_31_46,1327,2018-04-09,983594611762319361,http://twitter.com/katyperry/status/983594611762319361
983596001985314818,6.571776649744911,197,3546,99,500,2018-04-29_17_30_21,629,2018-04-09,983596001985314818,http://twitter.com/katyperry/status/983596001985314818
978495132902203394,5.698054187187865,812,8252,406,1094,2018-04-29_18_37_23,3976,2018-03-26,978495132902203394,http://twitter.com/katyperry/status/978495132902203394
978876561570058240,6.544278350533353,582,16207,900,2954,2018-04-29_18_35_57,1898,2018-03-27,978876561570058240,http://twitter.com/katyperry/status/978876561570058240
979151566920806401,6.083152941193903,425,10741,293,1326,2018-04-29_18_34_35,1774,2018-03-28,979151566920806401,http://twitter.com/katyperry/status/979151566920806401
980003790190342144,6.381072796934112,261,51829,1.1K,12108,2018-04-29_18_32_41,745,2018-03-31,980003790190342144,http://twitter.com/katyperry/status/980003790190342144
980331555624181760,6.5429425837274575,418,12303,458,1602,2018-04-29_18_31_22,1158,2018-03-31,980331555624181760,http://twitter.com/katyperry/status/980331555624181760
980554033759858689,6.376252319134013,539,15307,664,2173,2018-04-29_18_29_58,1685,2018-04-01,980554033759858689,http://twitter.com/katyperry/status/980554033759858689
980924654188511232,6.289220563873321,603,8554,455,959,2018-04-29_18_28_31,1796,2018-04-02,980924654188511232,http://twitter.com/katyperry/status/980924654188511232
981003754114727937,6.242271604943099,405,5349,265,673,2018-04-29_18_27_08,1369,2018-04-02,981003754114727937,http://twitter.com/katyperry/status/981003754114727937
981004628312535041,6.411094890510348,137,3215,111,421,2018-04-29_18_25_45,496,2018-04-02,981004628312535041,http://twitter.com/katyperry/status/981004628312535041
981005682139803648,5.6836418685107,1156,25535,947,4362,2018-04-29_18_24_18,3606,2018-04-02,981005682139803648,http://twitter.com/katyperry/status/981005682139803648
981006257065680896,6.81233333333316,60,3247,82,427,2018-04-29_18_23_03,171,2018-04-02,981006257065680896,http://twitter.com/katyperry/status/981006257065680896
981006419334897666,6.2255214723921,163,3706,158,425,2018-04-29_18_21_44,526,2018-04-02,981006419334897666,http://twitter.com/katyperry/status/981006419334897666
981006644615069696,6.434622641509573,106,3143,107,378,2018-04-29_18_20_19,341,2018-04-02,981006644615069696,http://twitter.com/katyperry/status/981006644615069696
981006757089632256,6.111296829965028,347,5097,219,637,2018-04-29_18_18_57,1233,2018-04-02,981006757089632256,http://twitter.com/katyperry/status/981006757089632256
981008424543576064,6.514871794872006,78,2912,77,355,2018-04-29_18_17_36,259,2018-04-02,981008424543576064,http://twitter.com/katyperry/status/981008424543576064
981008509352333312,6.774399999999959,75,2925,59,365,2018-04-29_18_16_09,213,2018-04-02,981008509352333312,http://twitter.com/katyperry/status/981008509352333312
981009439846207488,5.976940874037745,389,4120,182,521,2018-04-29_18_14_45,1334,2018-04-02,981009439846207488,http://twitter.com/katyperry/status/981009439846207488
981010504977018880,6.568888888889049,90,2768,82,384,2018-04-29_18_13_20,317,2018-04-02,981010504977018880,http://twitter.com/katyperry/status/981010504977018880
981010963158593536,6.467261146496444,157,3156,84,395,2018-04-29_18_11_56,404,2018-04-02,981010963158593536,http://twitter.com/katyperry/status/981010963158593536
981011340809523200,5.942241379302634,406,4248,150,740,2018-04-29_18_10_30,1231,2018-04-02,981011340809523200,http://twitter.com/katyperry/status/981011340809523200
981011695211393024,6.489915254237933,118,2953,53,372,2018-04-29_18_09_13,303,2018-04-02,981011695211393024,http://twitter.com/katyperry/status/981011695211393024
981011758100828160,6.4909459459454,148,3956,85,547,2018-04-29_18_07_50,476,2018-04-02,981011758100828160,http://twitter.com/katyperry/status/981011758100828160
981011851461865472,5.946478873237063,213,3273,95,438,2018-04-29_18_06_23,628,2018-04-02,981011851461865472,http://twitter.com/katyperry/status/981011851461865472
981012233017675777,5.99876404493933,356,3463,171,448,2018-04-29_18_05_01,1121,2018-04-02,981012233017675777,http://twitter.com/katyperry/status/981012233017675777
978137521224740864,6.128312101909023,314,5916,133,1040,2018-04-29_19_11_41,896,2018-03-25,978137521224740864,http://twitter.com/katyperry/status/978137521224740864
978137602426470400,6.095130434796338,460,6147,211,858,2018-04-29_19_10_16,1497,2018-03-25,978137602426470400,http://twitter.com/katyperry/status/978137602426470400
978423133559492609,6.257485380112656,342,5318,210,802,2018-04-29_19_08_52,1156,2018-03-26,978423133559492609,http://twitter.com/katyperry/status/978423133559492609
978467445382893568,6.579478260869213,230,5567,191,621,2018-04-29_19_07_26,732,2018-03-26,978467445382893568,http://twitter.com/katyperry/status/978467445382893568
978467633879117824,6.425443786980604,169,3607,85,538,2018-04-29_19_06_05,539,2018-03-26,978467633879117824,http://twitter.com/katyperry/status/978467633879117824
978467895159152641,6.285739130435228,115,2896,66,393,2018-04-29_19_04_45,294,2018-03-26,978467895159152641,http://twitter.com/katyperry/status/978467895159152641
978468724817580032,6.23407407407399,108,2927,78,406,2018-04-29_19_03_15,368,2018-03-26,978468724817580032,http://twitter.com/katyperry/status/978468724817580032
978470615408496640,6.3964356435645495,101,2827,59,415,2018-04-29_19_01_58,329,2018-03-26,978470615408496640,http://twitter.com/katyperry/status/978470615408496640
978470823223746560,6.507999999999544,135,2987,65,415,2018-04-29_19_00_39,386,2018-03-26,978470823223746560,http://twitter.com/katyperry/status/978470823223746560
978471562637582337,6.038171428569592,175,3208,81,407,2018-04-29_18_59_17,585,2018-03-26,978471562637582337,http://twitter.com/katyperry/status/978471562637582337
978476664769277952,6.4820754716982325,106,3396,70,437,2018-04-29_18_57_56,362,2018-03-26,978476664769277952,http://twitter.com/katyperry/status/978476664769277952
978476836739997696,6.4317647058823875,68,3260,50,387,2018-04-29_18_56_33,207,2018-03-26,978476836739997696,http://twitter.com/katyperry/status/978476836739997696
978477645447839744,5.8359259259237035,270,3626,103,453,2018-04-29_18_55_13,773,2018-03-26,978477645447839744,http://twitter.com/katyperry/status/978477645447839744
978480132657573888,6.648387096773996,62,2963,60,463,2018-04-29_18_53_52,206,2018-03-26,978480132657573888,http://twitter.com/katyperry/status/978480132657573888
978480785320628225,6.643937007874465,127,3254,67,425,2018-04-29_18_52_30,335,2018-03-26,978480785320628225,http://twitter.com/katyperry/status/978480785320628225
978481102330281984,6.570645161290625,124,3107,84,412,2018-04-29_18_51_11,374,2018-03-26,978481102330281984,http://twitter.com/katyperry/status/978481102330281984
978483226845917184,6.6674226804131305,97,2832,60,407,2018-04-29_18_49_54,289,2018-03-26,978483226845917184,http://twitter.com/katyperry/status/978483226845917184
978484351531757568,6.792844036697776,109,5375,75,668,2018-04-29_18_48_31,309,2018-03-26,978484351531757568,http://twitter.com/katyperry/status/978484351531757568
978486052536033280,6.211333333333139,120,2826,54,396,2018-04-29_18_47_06,355,2018-03-26,978486052536033280,http://twitter.com/katyperry/status/978486052536033280
978487071345074177,6.423970588235233,136,3762,64,477,2018-04-29_18_45_42,409,2018-03-26,978487071345074177,http://twitter.com/katyperry/status/978487071345074177
978488767777423361,6.6082142857142445,56,2764,43,365,2018-04-29_18_44_18,171,2018-03-26,978488767777423361,http://twitter.com/katyperry/status/978488767777423361
978489871609208832,6.2611607142846,224,3808,112,540,2018-04-29_18_42_56,789,2018-03-26,978489871609208832,http://twitter.com/katyperry/status/978489871609208832
978491021813149696,6.611600000000331,100,3334,75,422,2018-04-29_18_41_33,311,2018-03-26,978491021813149696,http://twitter.com/katyperry/status/978491021813149696
978494119591886848,6.1813157894723405,152,3793,79,500,2018-04-29_18_40_15,547,2018-03-26,978494119591886848,http://twitter.com/katyperry/status/978494119591886848
978494309577080832,5.578333333300206,1392,5777,313,707,2018-04-29_18_38_47,4178,2018-03-26,978494309577080832,http://twitter.com/katyperry/status/978494309577080832
987008568766316545,6.473915492952802,355,6089,258,1053,2018-04-30_16_38_47,1122,2018-04-19,987008568766316545,http://twitter.com/katyperry/status/987008568766316545
